Firm_ID,Sector,Region,Size,Leverage,Profit_Margin,RD_Intensity,Org_Complexity,base_hazard,cov_effect,hazard,Event_Time,Status,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Embed_1,Embed_2,Embed_3,Embed_4
58,Retail,Europe,"26948,35316","0,525712029","0,062855611","0,269779676",5,"0,09","0,402855475","0,036256993","767,52325",1,,,,,0.00047416613,0.104236916,-0.0052433047,0.0026243702
59,Energy,Europe,"17489,02031",0,"0,179504242","0,114832271",5,"0,05","0,17606177","0,008803089","1125,382526",1,,,,,-0.0033378582,0.11298112,-0.014249104,0.0242351
60,Manufacturing,USA,"5896,627853",1,"-1,356826986","0,615503176",4,"0,048","3,853860596","0,184985309","70,32258704",1,,,,,-0.010603311,0.19450451,0.006120599,0.008588128
61,Finance,USA,"12293,46253","0,316175066","-0,027242284","0,292617364",3,"0,056","0,57995556","0,032477511","60,2156369",1,,,,,-3.299862e-05,0.13975437,0.004352646,-0.0050744936
62,Finance,LatAm,"18642,7733","0,625598208","-1,385220638","0,024010416",2,"0,084","5,537885455","0,465182378","1,483000671",0,,,,,-0.0070679653,0.07777726,0.0033162925,-0.0011731759
63,Technology,USA,"18317,84517","0,541014465","0,151196739","0,45419869",1,"0,096","1,142507735","0,109680743","14,22625082",1,,,,,0.010191988,0.099112935,0.014113075,0.0032559782
64,Technology,USA,"21242,38416",1,"0,063779515","0,184637344",2,"0,096","2,104129438","0,201996426","18,69598812",0,,,,,0.03721305,0.098072395,0.041555848,-0.01150427
65,Services,LatAm,"27395,74289","0,504481739","-0,828133287","0,293108393",1,"0,096","3,121462677","0,299660417","6,52736872",1,,,,,0.013016965,0.015446475,-0.0061315065,-0.01939743
66,Technology,Europe,"30079,51993","0,539662346","0,143038113","0,772135312",4,"0,12","0,398673597","0,047840832","11,64944389",1,,,,,0.008946582,0.202964,0.0036215065,0.0023166314
67,Technology,Europe,"38291,52357",1,"0,147064616","0,906985957",3,"0,12","0,999442561","0,119933107","7,495472444",1,,,,,-0.020269243,0.25928572,-0.00048516784,0.027573593
68,Energy,Europe,"31710,23215","0,467425627","0,04302764","0,828240982",4,"0,05","0,3844238","0,01922119","110,5824667",1,,,,,-0.031588033,0.25725508,0.0036439607,0.03756938
69,Technology,USA,"78834,07572","0,466738017","0,039908363","1,129267861",1,"0,096","0,815107504","0,07825032","127,4051393",1,,,,,0.025673177,0.27764198,0.035909172,0.0015239045
70,Manufacturing,Europe,"11305,94714","0,711651342","-0,091100292","0,245080441",5,"0,06","0,628786872","0,037727212","183,53013",1,,,,,-0.030972047,0.30225676,0.00600971,0.025032446
71,Energy,LatAm,"30394,09676","0,825431746","-0,009499412","0,147807537",4,"0,06","0,974084973","0,058445098","97,21102564",1,,,,,-0.006819466,0.10004556,0.0009313915,0.005889088
72,Manufacturing,LatAm,"19588,24237","0,013776312","-0,085193635","1,266122156",4,"0,072","0,177780973","0,01280023","25,04371572",1,,,,,-0.026727343,0.15041947,0.0075477054,0.029780485
73,Finance,USA,"25019,06251","0,160866252","0,241833059","0,275629125",3,"0,056","0,354038985","0,019826183","103,8027505",1,,,,,0.030375164,0.12413047,0.01961904,0.004857734
74,Retail,LatAm,"26057,39948","0,586495038","0,079439927","0,136580357",2,"0,108","1,141122528","0,123241233","38,44951198",1,,,,,-0.0074931253,0.073701784,0.012841559,0.033644684
75,Retail,USA,"27887,75428",1,"0,103795867","0,051174762",1,"0,072","2,917178121","0,210036825","46,46998691",1,,,,,0.0034256028,0.105619065,0.009394352,-0.0019799396
76,Technology,LatAm,"13601,93183","0,43530169","-0,27563915","1,761348878",3,"0,144","0,426525658","0,061419695","204,4192827",0,,,,,0.035183772,0.13031021,0.027532343,0.014679737
77,Services,USA,"6480,874998","0,532146651","-0,212679455","0,288745597",2,"0,064","1,305422357","0,083547031","39,66462777",0,,,,,-0.0123777,0.11893687,-0.015172667,-0.048738323
78,Energy,LatAm,"20436,00378","0,479197499","0,138500682","0,990400127",4,"0,06","0,327946597","0,019676796","71,41940931",1,,,,,0.01656593,0.014357178,0.00046938937,-0.01781106
79,Finance,USA,"9328,323648",1,"-0,149438195","0,096404087",5,"0,056","1,106537921","0,061966124","288,2859325",1,,,,,-0.0031212699,0.14638638,-0.010575899,-0.034819543
80,Technology,LatAm,"63948,33109","0,481355154","0,308729515","0,450092525",4,"0,144","0,363584682","0,052356194","185,4080684",1,,,,,0.031503063,-0.0020886795,-0.014668487,-0.048510708
81,Energy,Europe,"21847,52428",1,"0,05821051","0,227945004",1,"0,05","2,794957745","0,139747887","0,913330407",1,,,,,-0.0073788334,0.2046759,-0.012745273,0.00111074
82,Technology,USA,"14161,47815",1,"0,201737133","0,214678953",5,"0,096","0,734124527","0,070475955","60,40015796",1,,,,,0.004075136,0.2198287,-0.0012621442,-0.02811677
83,Energy,LatAm,"14502,98852","0,887291122","0,122278083","0,625540624",2,"0,06","1,344319972","0,080659198","3,235208804",1,,,,,0.0025815237,0.15443695,-0.0036371192,-0.0088414475
84,Services,Europe,"20942,91951","0,341301917","0,510034264","0,147526572",5,"0,08","0,20766176","0,016612941","161,1972013",0,,,,,-0.013490899,0.22256573,-0.025081247,-0.022091404
85,Technology,USA,"54187,06581",0,"0,098531358","0,617492578",3,"0,096","0,270555603","0,025973338","752,5570821",1,,,,,0.004950803,0.4274664,0.032377146,0.019396693
86,Finance,USA,"11023,59816","0,072696863","-0,278520889","0,464689677",2,"0,056","0,640966135","0,035894104","483,7973223",1,,,,,0.0025216509,0.31929982,0.019095775,0.012266137
87,Energy,Europe,"16682,47282",0,"0,214042024","0,78865138",2,"0,05","0,29868442","0,014934221","1097,003477",1,,,,,0.010795977,0.15492629,-0.015677288,0.00727427
88,Technology,Europe,"39255,92663",0,"0,146854129","0,672159046",6,"0,12","0,10198458","0,01223815","693,3906293",1,,,,,-0.0050600544,0.21966006,0.000685025,0.0255161
89,Technology,USA,"56103,2607",0,"0,167867842","0,270989281",6,"0,096","0,122045362","0,011716355","3933,879153",1,,,,,-0.029781973,0.18175645,0.008876928,0.02569317
90,Services,USA,"40909,20674","0,10467842","0,734923125","0,768353103",1,"0,064","0,28306406","0,0181161","640,5247489",1,,,,,-0.01541811,0.15093382,-0.020030081,0.0074899197
91,Technology,Europe,"9649,006154",1,"0,214159774","0,87126056",3,"0,12","0,951429152","0,114171498","9,060267927",1,,,,,-0.04288596,0.20166479,-0.00019152556,0.021313734
92,Retail,LatAm,"11632,89206","0,790683591","-0,010892232","0,493974854",0,"0,108","2,585529163","0,27923715","21,85707436",1,,,,,-0.019719156,0.19274107,0.033436637,-0.020019248
93,Services,Europe,"38101,73945","0,840641596","-0,475280027","0,268485439",1,"0,08","3,676641503","0,29413132","6,05880596",1,,,,,-0.022407653,0.22928523,-0.0059980843,0.013476737
94,Technology,LatAm,"16963,25424","0,466597002","0,243109606","0,575669556",1,"0,144","0,877174896","0,126313185","13,3798661",1,,,,,-0.017941581,0.20703895,0.042980317,-0.011772044
95,Manufacturing,Europe,"34909,41629","0,818992215","-0,080211771","0,460940445",5,"0,06","0,65588479","0,039353087","206,7284838",1,,,,,-0.020721639,0.146026,0.0029715607,0.026802815
96,Retail,Europe,"48810,31203",0,"-0,203399058","0,796975486",3,"0,09","0,33450994","0,030105895","400,5032638",1,,,,,-0.02172816,0.116191536,0.020266231,-0.0020706728
97,Retail,LatAm,"15749,78206","0,350212562","0,048813691","0,886830511",4,"0,108","0,311327426","0,033623362","16,61585523",1,,,,,-0.0005061906,0.09518498,0.014373426,0.010244526
98,Services,LatAm,"15327,3415","0,631615286","-0,078780062","0,348417039",4,"0,096","0,706094972","0,067785117","13,69383718",1,,,,,-0.010701526,0.11090704,0.013973043,0.012494646
99,Manufacturing,LatAm,"86580,91001","0,962672675","0,976744977","0,143853111",5,"0,072","0,331322678","0,023855233","81,59466998",1,,,,,-0.019611137,0.0675698,0.022250645,0.030903779
100,Manufacturing,LatAm,"49040,15389","0,368599875","0,340926951","0,498451621",3,"0,072","0,391702385","0,028202572","830,0706907",1,,,,,-0.026376223,0.042757593,0.033781577,0.03950984
101,Manufacturing,Europe,"36609,30961",0,"0,721051713","0,608335304",0,"0,06","0,358717766","0,021523066","827,6832475",1,,,,,-0.0057091136,0.07145427,0.0038524037,0.021342352
102,Finance,USA,"5870,474477","0,841807662","-0,900643578","0,187533448",0,"0,056","7,921561513","0,443607445","12,04663978",1,,,,,-0.026277782,0.15718976,-0.007966557,-0.017405476
103,Manufacturing,Europe,"61161,39648",0,"1,062831131","0,140889074",4,"0,06","0,09697756","0,005818654","1532,384146",1,,,,,0.012722389,0.10439028,-0.012886547,0.01865445
104,Manufacturing,USA,"27071,63119","0,833172599","-0,194848739","0,118250876",3,"0,048","1,624958375","0,077998002","9,535138852",1,,,,,-0.01335687,0.11974862,-0.020936485,-0.019186527
105,Technology,USA,"38160,74089",0,"0,191805184","0,95464669",2,"0,096","0,281076465","0,026983341","461,7128295",1,,,,,0.024402717,0.12658629,0.03342971,0.012333833
106,Finance,USA,"38574,52575",1,"-0,579412295","0,413712677",4,"0,056","1,959238655","0,109717365","18,85926971",1,,,,,-0.00606679,0.14604947,0.014386241,-0.029396512
107,Finance,USA,"73822,19848","0,522699452","0,126242472","0,738556762",4,"0,056","0,401932275","0,022508207","20,91161531",0,,,,,-0.0007601585,0.2995448,0.026248824,-0.016758837
108,Technology,Europe,"31320,64208","0,722355617","0,232700247","1,082812408",4,"0,12","0,410420504","0,04925046","114,4116466",1,,,,,0.0067189205,0.10640536,0.004383876,0.027459748
109,Energy,LatAm,"20764,09253","0,72095005","0,117166916","0,583826031",4,"0,06","0,589986953","0,035399217","428,4527182",1,,,,,-0.013919054,0.04354956,0.003144675,0.018841378
110,Technology,LatAm,"20521,53971","0,736620135","0,221529367","0,831107797",3,"0,144","0,649110015","0,093471842","204,633861",1,,,,,-0.027393298,0.08800137,0.00024079625,0.00907284
111,Technology,USA,"172596,6105",0,"0,21216202","0,444701508",1,"0,096","0,479739143","0,046054958","37,15591258",1,,,,,-0.0069316328,0.15940398,0.0068667075,-0.008605428
112,Technology,Europe,"39286,73939","0,089754288","0,232250598","0,321755888",5,"0,12","0,172303623","0,020676435","363,6874528",1,,,,,-0.010002203,0.0952916,0.0057544345,0.02208171
113,Services,USA,"18284,0417","0,379676674","-0,330186619","0,854736536",4,"0,064","0,483034771","0,030914225","135,839331",1,,,,,-0.006638745,0.045182873,0.01708031,0.0085830465
114,Technology,LatAm,"24360,61391","0,944601471","0,181062301","0,544018758",3,"0,144","1,065911739","0,15349129","125,5568586",1,,,,,-0.030408518,0.08113526,0.009382834,-0.0026114509
115,Services,USA,"23269,11373","0,862545805","-0,395652942","0,548291547",1,"0,064","3,050562121","0,195235976","46,81693885",1,,,,,-0.028824555,0.10161904,0.013390345,0.00035824627
116,Technology,USA,"37792,04474","0,855840845","0,125615169","0,84477635",4,"0,096","0,628611364","0,060346691","581,6363124",1,,,,,-0.022044374,0.08804136,0.012148743,-0.003867589
117,Energy,Europe,"3642,02515",1,"0,113904306","0,07697756",6,"0,05","0,636104077","0,031805204","400,0326284",1,,,,,-0.024510102,0.16367866,0.006783112,0.018952332
118,Services,Europe,"14771,52497","0,592911954","-0,134910537","0,088172778",3,"0,08","1,083495164","0,086679613","13,21269307",0,,,,,-0.01584761,0.23983817,0.0025339574,0.0033482611
119,Retail,USA,"19719,2084","0,081659713","0,067774064","1,110840098",1,"0,072","0,449012504","0,0323289","318,0706628",1,,,,,-0.016433539,0.059006363,0.0068711797,0.009467818
120,Manufacturing,LatAm,"18181,00801","0,291079701","-0,246505642","0,338894072",2,"0,072","0,917298958","0,066045525","42,56869347",1,,,,,-0.014087511,0.08031376,0.006680005,-0.005884655
121,Technology,LatAm,"12160,73159","0,393654128","0,158601325","0,956318757",4,"0,144","0,28757272","0,041410472","391,6673934",1,,,,,-0.02651454,0.04423231,0.008277644,0.009595387
122,Technology,LatAm,"26158,85461","0,760628185","0,226151895","0,226798208",1,"0,144","1,651016698","0,237746404","249,144294",1,,,,,-0.030398434,0.02035369,0.010962292,-0.010857381
123,Services,Europe,"59201,04351",1,"-0,712043925","0,206009614",2,"0,08","4,522383231","0,361790658","10,19995083",1,,,,,0.003941647,0.24704365,-0.019373968,0.004314974
124,Manufacturing,Europe,"19306,25263","0,908083419","0,07819983","0,562788225",2,"0,06","1,495605566","0,089736334","47,97682852",1,,,,,-0.0042377915,0.16139357,-0.0035900502,0.0017597824
125,Retail,Europe,"4963,391792","0,724209706","-0,019135014","1,054053086",4,"0,09","0,537096784","0,048338711","84,51667086",1,,,,,-0.010102715,0.16359305,-0.0075193434,0.008454487
126,Technology,LatAm,"63391,31057","0,24341292","0,16927095","0,458317665",5,"0,144","0,215820032","0,031078085","274,1128436",1,,,,,-0.0159425,-0.005875923,0.008907336,-0.029704496
127,Retail,USA,"76658,16182","0,15722864","0,089086516","0,345111963",4,"0,072","0,293522924","0,021133651","426,721586",0,,,,,-0.008413885,0.12661487,-0.03134753,0.001285173
128,Services,USA,"8410,209176",0,"0,254806315","0,207830236",3,"0,064","0,284016929","0,018177083","500,0832147",0,,,,,0.01147249,0.18314703,-0.045144316,-0.011141434
129,Finance,USA,"9275,347921","0,831663793","-0,163650924","0,562667108",3,"0,056","1,25836475","0,070468426","143,2185932",1,,,,,0.013846671,0.21576984,-0.028127234,-0.010991812
130,Finance,USA,"12510,58971",1,"-0,986757575","0,403093922",4,"0,056","2,960063185","0,165763538","59,55073818",1,,,,,0.013559009,0.11750492,-0.023211354,-0.007318802
131,Technology,USA,"6525,987895","0,963825487","0,112401868","0,677994303",4,"0,096","0,814109184","0,078154482","28,45526126",1,,,,,-0.02214905,0.17141744,0.013887134,-0.0018079802
132,Finance,USA,"12903,63762","0,718349461","-0,481249877","0,293221003",1,"0,056","3,040930537","0,17029211","56,39834687",0,,,,,-0.0052819084,0.24893643,0.014920869,0.004199676
133,Retail,LatAm,"11004,56857","0,40782609","0,043771288","0,201106482",5,"0,108","0,356085149","0,038457196","299,9216564",0,,,,,0.0059082666,0.031565204,-0.037372224,-0.0139008835
134,Services,LatAm,"26163,53251","0,230306443","-0,367325816","0,033386787",3,"0,096","0,815537468","0,078291597","101,0671022",0,,,,,0.046146497,0.0382014,-0.054826103,-0.019013107
135,Energy,USA,"13965,42853","0,019227292","0,044201016","0,13962844",0,"0,04","0,918352203","0,036734088","169,5444726",1,,,,,0.01074997,0.2564038,0.0036499156,0.0026846826
136,Technology,Europe,"10937,67325","0,40813206","0,174648162","1,165465867",3,"0,12","0,351627464","0,042195296","548,6357834",1,,,,,-0.020433852,0.18480076,-0.005653169,0.013592295
137,Manufacturing,LatAm,"17135,47598","0,521694904","0,052003217","0,605555249",2,"0,072","0,841778397","0,060608045","519,1608355",1,,,,,0.022712462,0.05029196,-0.023119636,-0.0059140027
138,Energy,Europe,"49759,16473",0,"0,162799054","0,404742273",2,"0,05","0,380918365","0,019045918","247,4052179",1,,,,,0.001980666,0.16933325,-0.003901151,0.00993029
139,Manufacturing,Europe,"29517,8325","0,440880665","0,20959255","0,403813318",2,"0,06","0,704562518","0,042273751","9,91486211",0,,,,,0.013239434,0.062577166,-0.018668853,0.0006092638
140,Retail,USA,"22067,54959","0,475288802","0,064794901","0,458619406",2,"0,072","0,834292348","0,060069049","17,46134722",0,,,,,0.03744735,0.08087939,-0.03727042,-0.021154441
141,Services,Europe,"12429,03024","0,313163831","0,511382733","0,452968664",9,"0,08","0,051399784","0,004111983","1255,860519",0,,,,,0.0319022,-0.018725645,-0.06306857,-0.0035837367
142,Finance,USA,"20110,04057","0,692251851","0,584085584","0,379317502",7,"0,056","0,159555005","0,00893508","2787,102353",1,,,,,0.024927437,0.09568946,-0.038524006,-0.019245408
143,Finance,Europe,"7971,695858","0,228138817","0,376901933","0,42790766",6,"0,07","0,128909131","0,009023639","141,5265384",1,,,,,0.013579886,0.060263,-0.070741445,0.018059112
144,Energy,LatAm,"16123,75604","0,815484551","0,120543461","0,622946652",7,"0,06","0,270146747","0,016208805","1407,101408",1,,,,,-0.0011677537,0.06261521,-0.0038891248,0.01074376
145,Technology,LatAm,"3025,730822","0,694967635","0,141358571","0,774749531",2,"0,144","0,917335612","0,132096328","120,7074376",1,,,,,-0.03231635,0.093136325,0.00024357345,0.006864421
146,Technology,USA,"34070,53354",0,"0,155797642","0,380071934",0,"0,096","0,70763022","0,067932501","263,2815942",1,,,,,-0.0069416035,0.061844032,-0.015450786,-0.0066392347
147,Finance,LatAm,"25951,50852","0,695288464","0,140606429","0,593060684",8,"0,084","0,16625973","0,013965817","969,5738456",1,,,,,-0.010300586,0.10495208,-0.004164716,0.01000876
148,Energy,LatAm,"18215,80378","0,503435065","0,191012316","0,727562391",3,"0,06","0,496763653","0,029805819","1074,532998",1,,,,,0.0036323676,0.07759273,0.021118812,0.0010228232
149,Technology,LatAm,"17435,19272","0,698230878","0,191613357","0,198747255",2,"0,144","1,169246276","0,168371464","53,79653653",1,,,,,0.0131519865,0.06489404,0.019795768,0.014485709
