Firm_ID,Sector,Region,Size,Leverage,Profit_Margin,RD_Intensity,Org_Complexity,base_hazard,cov_effect,hazard,Event_Time,Status,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
56,Energy,Europe,"40645,2523",0,"0,280712975","0,481039325",1,"0,05","0,439889096","0,021994455","1039,81158",1,,,,
57,Technology,LatAm,"28061,75749","0,804473054","0,164509448","1,243550071",1,"0,144","1,12797625","0,16242858","68,80532857",1,,,,
58,Retail,Europe,"26948,35316","0,525712029","0,062855611","0,269779676",5,"0,09","0,402855475","0,036256993","767,52325",1,,,,
59,Energy,Europe,"17489,02031",0,"0,179504242","0,114832271",5,"0,05","0,17606177","0,008803089","1125,382526",1,,,,
60,Manufacturing,USA,"5896,627853",1,"-1,356826986","0,615503176",4,"0,048","3,853860596","0,184985309","70,32258704",1,,,,
61,Finance,USA,"12293,46253","0,316175066","-0,027242284","0,292617364",3,"0,056","0,57995556","0,032477511","60,2156369",1,,,,
62,Finance,LatAm,"18642,7733","0,625598208","-1,385220638","0,024010416",2,"0,084","5,537885455","0,465182378","1,483000671",0,,,,
63,Technology,USA,"18317,84517","0,541014465","0,151196739","0,45419869",1,"0,096","1,142507735","0,109680743","14,22625082",1,,,,
64,Technology,USA,"21242,38416",1,"0,063779515","0,184637344",2,"0,096","2,104129438","0,201996426","18,69598812",0,,,,
65,Services,LatAm,"27395,74289","0,504481739","-0,828133287","0,293108393",1,"0,096","3,121462677","0,299660417","6,52736872",1,,,,
66,Technology,Europe,"30079,51993","0,539662346","0,143038113","0,772135312",4,"0,12","0,398673597","0,047840832","11,64944389",1,,,,
67,Technology,Europe,"38291,52357",1,"0,147064616","0,906985957",3,"0,12","0,999442561","0,119933107","7,495472444",1,,,,
68,Energy,Europe,"31710,23215","0,467425627","0,04302764","0,828240982",4,"0,05","0,3844238","0,01922119","110,5824667",1,,,,
69,Technology,USA,"78834,07572","0,466738017","0,039908363","1,129267861",1,"0,096","0,815107504","0,07825032","127,4051393",1,,,,
70,Manufacturing,Europe,"11305,94714","0,711651342","-0,091100292","0,245080441",5,"0,06","0,628786872","0,037727212","183,53013",1,,,,
71,Energy,LatAm,"30394,09676","0,825431746","-0,009499412","0,147807537",4,"0,06","0,974084973","0,058445098","97,21102564",1,,,,
72,Manufacturing,LatAm,"19588,24237","0,013776312","-0,085193635","1,266122156",4,"0,072","0,177780973","0,01280023","25,04371572",1,,,,
73,Finance,USA,"25019,06251","0,160866252","0,241833059","0,275629125",3,"0,056","0,354038985","0,019826183","103,8027505",1,,,,
74,Retail,LatAm,"26057,39948","0,586495038","0,079439927","0,136580357",2,"0,108","1,141122528","0,123241233","38,44951198",1,,,,
75,Retail,USA,"27887,75428",1,"0,103795867","0,051174762",1,"0,072","2,917178121","0,210036825","46,46998691",1,,,,
76,Technology,LatAm,"13601,93183","0,43530169","-0,27563915","1,761348878",3,"0,144","0,426525658","0,061419695","204,4192827",0,,,,
77,Services,USA,"6480,874998","0,532146651","-0,212679455","0,288745597",2,"0,064","1,305422357","0,083547031","39,66462777",0,,,,
78,Energy,LatAm,"20436,00378","0,479197499","0,138500682","0,990400127",4,"0,06","0,327946597","0,019676796","71,41940931",1,,,,
79,Finance,USA,"9328,323648",1,"-0,149438195","0,096404087",5,"0,056","1,106537921","0,061966124","288,2859325",1,,,,
80,Technology,LatAm,"63948,33109","0,481355154","0,308729515","0,450092525",4,"0,144","0,363584682","0,052356194","185,4080684",1,,,,
81,Energy,Europe,"21847,52428",1,"0,05821051","0,227945004",1,"0,05","2,794957745","0,139747887","0,913330407",1,,,,
82,Technology,USA,"14161,47815",1,"0,201737133","0,214678953",5,"0,096","0,734124527","0,070475955","60,40015796",1,,,,
83,Energy,LatAm,"14502,98852","0,887291122","0,122278083","0,625540624",2,"0,06","1,344319972","0,080659198","3,235208804",1,,,,
84,Services,Europe,"20942,91951","0,341301917","0,510034264","0,147526572",5,"0,08","0,20766176","0,016612941","161,1972013",0,,,,
85,Technology,USA,"54187,06581",0,"0,098531358","0,617492578",3,"0,096","0,270555603","0,025973338","752,5570821",1,,,,
86,Finance,USA,"11023,59816","0,072696863","-0,278520889","0,464689677",2,"0,056","0,640966135","0,035894104","483,7973223",1,,,,
87,Energy,Europe,"16682,47282",0,"0,214042024","0,78865138",2,"0,05","0,29868442","0,014934221","1097,003477",1,,,,
88,Technology,Europe,"39255,92663",0,"0,146854129","0,672159046",6,"0,12","0,10198458","0,01223815","693,3906293",1,,,,
89,Technology,USA,"56103,2607",0,"0,167867842","0,270989281",6,"0,096","0,122045362","0,011716355","3933,879153",1,,,,
90,Services,USA,"40909,20674","0,10467842","0,734923125","0,768353103",1,"0,064","0,28306406","0,0181161","640,5247489",1,,,,
91,Technology,Europe,"9649,006154",1,"0,214159774","0,87126056",3,"0,12","0,951429152","0,114171498","9,060267927",1,,,,
92,Retail,LatAm,"11632,89206","0,790683591","-0,010892232","0,493974854",0,"0,108","2,585529163","0,27923715","21,85707436",1,,,,
93,Services,Europe,"38101,73945","0,840641596","-0,475280027","0,268485439",1,"0,08","3,676641503","0,29413132","6,05880596",1,,,,
94,Technology,LatAm,"16963,25424","0,466597002","0,243109606","0,575669556",1,"0,144","0,877174896","0,126313185","13,3798661",1,,,,
95,Manufacturing,Europe,"34909,41629","0,818992215","-0,080211771","0,460940445",5,"0,06","0,65588479","0,039353087","206,7284838",1,,,,
96,Retail,Europe,"48810,31203",0,"-0,203399058","0,796975486",3,"0,09","0,33450994","0,030105895","400,5032638",1,,,,
97,Retail,LatAm,"15749,78206","0,350212562","0,048813691","0,886830511",4,"0,108","0,311327426","0,033623362","16,61585523",1,,,,
98,Services,LatAm,"15327,3415","0,631615286","-0,078780062","0,348417039",4,"0,096","0,706094972","0,067785117","13,69383718",1,,,,
99,Manufacturing,LatAm,"86580,91001","0,962672675","0,976744977","0,143853111",5,"0,072","0,331322678","0,023855233","81,59466998",1,,,,
100,Manufacturing,LatAm,"49040,15389","0,368599875","0,340926951","0,498451621",3,"0,072","0,391702385","0,028202572","830,0706907",1,,,,
101,Manufacturing,Europe,"36609,30961",0,"0,721051713","0,608335304",0,"0,06","0,358717766","0,021523066","827,6832475",1,,,,
102,Finance,USA,"5870,474477","0,841807662","-0,900643578","0,187533448",0,"0,056","7,921561513","0,443607445","12,04663978",1,,,,
103,Manufacturing,Europe,"61161,39648",0,"1,062831131","0,140889074",4,"0,06","0,09697756","0,005818654","1532,384146",1,,,,
104,Manufacturing,USA,"27071,63119","0,833172599","-0,194848739","0,118250876",3,"0,048","1,624958375","0,077998002","9,535138852",1,,,,
105,Technology,USA,"38160,74089",0,"0,191805184","0,95464669",2,"0,096","0,281076465","0,026983341","461,7128295",1,,,,
106,Finance,USA,"38574,52575",1,"-0,579412295","0,413712677",4,"0,056","1,959238655","0,109717365","18,85926971",1,,,,
107,Finance,USA,"73822,19848","0,522699452","0,126242472","0,738556762",4,"0,056","0,401932275","0,022508207","20,91161531",0,,,,
108,Technology,Europe,"31320,64208","0,722355617","0,232700247","1,082812408",4,"0,12","0,410420504","0,04925046","114,4116466",1,,,,
109,Energy,LatAm,"20764,09253","0,72095005","0,117166916","0,583826031",4,"0,06","0,589986953","0,035399217","428,4527182",1,,,,
110,Technology,LatAm,"20521,53971","0,736620135","0,221529367","0,831107797",3,"0,144","0,649110015","0,093471842","204,633861",1,,,,
111,Technology,USA,"172596,6105",0,"0,21216202","0,444701508",1,"0,096","0,479739143","0,046054958","37,15591258",1,,,,
112,Technology,Europe,"39286,73939","0,089754288","0,232250598","0,321755888",5,"0,12","0,172303623","0,020676435","363,6874528",1,,,,
113,Services,USA,"18284,0417","0,379676674","-0,330186619","0,854736536",4,"0,064","0,483034771","0,030914225","135,839331",1,,,,
114,Technology,LatAm,"24360,61391","0,944601471","0,181062301","0,544018758",3,"0,144","1,065911739","0,15349129","125,5568586",1,,,,
115,Services,USA,"23269,11373","0,862545805","-0,395652942","0,548291547",1,"0,064","3,050562121","0,195235976","46,81693885",1,,,,
116,Technology,USA,"37792,04474","0,855840845","0,125615169","0,84477635",4,"0,096","0,628611364","0,060346691","581,6363124",1,,,,
117,Energy,Europe,"3642,02515",1,"0,113904306","0,07697756",6,"0,05","0,636104077","0,031805204","400,0326284",1,,,,
118,Services,Europe,"14771,52497","0,592911954","-0,134910537","0,088172778",3,"0,08","1,083495164","0,086679613","13,21269307",0,,,,
119,Retail,USA,"19719,2084","0,081659713","0,067774064","1,110840098",1,"0,072","0,449012504","0,0323289","318,0706628",1,,,,
120,Manufacturing,LatAm,"18181,00801","0,291079701","-0,246505642","0,338894072",2,"0,072","0,917298958","0,066045525","42,56869347",1,,,,
121,Technology,LatAm,"12160,73159","0,393654128","0,158601325","0,956318757",4,"0,144","0,28757272","0,041410472","391,6673934",1,,,,
122,Technology,LatAm,"26158,85461","0,760628185","0,226151895","0,226798208",1,"0,144","1,651016698","0,237746404","249,144294",1,,,,
123,Services,Europe,"59201,04351",1,"-0,712043925","0,206009614",2,"0,08","4,522383231","0,361790658","10,19995083",1,,,,
124,Manufacturing,Europe,"19306,25263","0,908083419","0,07819983","0,562788225",2,"0,06","1,495605566","0,089736334","47,97682852",1,,,,
125,Retail,Europe,"4963,391792","0,724209706","-0,019135014","1,054053086",4,"0,09","0,537096784","0,048338711","84,51667086",1,,,,
126,Technology,LatAm,"63391,31057","0,24341292","0,16927095","0,458317665",5,"0,144","0,215820032","0,031078085","274,1128436",1,,,,
127,Retail,USA,"76658,16182","0,15722864","0,089086516","0,345111963",4,"0,072","0,293522924","0,021133651","426,721586",0,,,,
128,Services,USA,"8410,209176",0,"0,254806315","0,207830236",3,"0,064","0,284016929","0,018177083","500,0832147",0,,,,
129,Finance,USA,"9275,347921","0,831663793","-0,163650924","0,562667108",3,"0,056","1,25836475","0,070468426","143,2185932",1,,,,
130,Finance,USA,"12510,58971",1,"-0,986757575","0,403093922",4,"0,056","2,960063185","0,165763538","59,55073818",1,,,,
131,Technology,USA,"6525,987895","0,963825487","0,112401868","0,677994303",4,"0,096","0,814109184","0,078154482","28,45526126",1,,,,
132,Finance,USA,"12903,63762","0,718349461","-0,481249877","0,293221003",1,"0,056","3,040930537","0,17029211","56,39834687",0,,,,
133,Retail,LatAm,"11004,56857","0,40782609","0,043771288","0,201106482",5,"0,108","0,356085149","0,038457196","299,9216564",0,,,,
134,Services,LatAm,"26163,53251","0,230306443","-0,367325816","0,033386787",3,"0,096","0,815537468","0,078291597","101,0671022",0,,,,
135,Energy,USA,"13965,42853","0,019227292","0,044201016","0,13962844",0,"0,04","0,918352203","0,036734088","169,5444726",1,,,,
136,Technology,Europe,"10937,67325","0,40813206","0,174648162","1,165465867",3,"0,12","0,351627464","0,042195296","548,6357834",1,,,,
137,Manufacturing,LatAm,"17135,47598","0,521694904","0,052003217","0,605555249",2,"0,072","0,841778397","0,060608045","519,1608355",1,,,,
138,Energy,Europe,"49759,16473",0,"0,162799054","0,404742273",2,"0,05","0,380918365","0,019045918","247,4052179",1,,,,
139,Manufacturing,Europe,"29517,8325","0,440880665","0,20959255","0,403813318",2,"0,06","0,704562518","0,042273751","9,91486211",0,,,,
140,Retail,USA,"22067,54959","0,475288802","0,064794901","0,458619406",2,"0,072","0,834292348","0,060069049","17,46134722",0,,,,
141,Services,Europe,"12429,03024","0,313163831","0,511382733","0,452968664",9,"0,08","0,051399784","0,004111983","1255,860519",0,,,,
142,Finance,USA,"20110,04057","0,692251851","0,584085584","0,379317502",7,"0,056","0,159555005","0,00893508","2787,102353",1,,,,
143,Finance,Europe,"7971,695858","0,228138817","0,376901933","0,42790766",6,"0,07","0,128909131","0,009023639","141,5265384",1,,,,
144,Energy,LatAm,"16123,75604","0,815484551","0,120543461","0,622946652",7,"0,06","0,270146747","0,016208805","1407,101408",1,,,,
145,Technology,LatAm,"3025,730822","0,694967635","0,141358571","0,774749531",2,"0,144","0,917335612","0,132096328","120,7074376",1,,,,
146,Technology,USA,"34070,53354",0,"0,155797642","0,380071934",0,"0,096","0,70763022","0,067932501","263,2815942",1,,,,
147,Finance,LatAm,"25951,50852","0,695288464","0,140606429","0,593060684",8,"0,084","0,16625973","0,013965817","969,5738456",1,,,,
148,Energy,LatAm,"18215,80378","0,503435065","0,191012316","0,727562391",3,"0,06","0,496763653","0,029805819","1074,532998",1,,,,
149,Technology,LatAm,"17435,19272","0,698230878","0,191613357","0,198747255",2,"0,144","1,169246276","0,168371464","53,79653653",1,,,,
150,Services,USA,"40791,23099",0,"0,629333034","0,158737162",7,"0,064","0,060283212","0,003858126","6332,102359",1,,,,
151,Finance,LatAm,"18733,44895","0,932115","-0,084196433","0,493435541",2,"0,084","1,8882513","0,158613109","37,94309069",1,,,,
152,Services,USA,"12054,56002","0,776813697","-0,49963329","0,378899085",2,"0,064","2,399845338","0,153590102","36,13877552",1,,,,
153,Retail,Europe,"65327,2718","0,191340539","-0,074283358","0,358961565",1,"0,09","0,888530223","0,07996772","256,4705791",0,,,,
154,Finance,USA,"12047,35197","0,08102643","0,443706437","0,200440812",3,"0,056","0,266498358","0,014923908","691,7261621",1,,,,
155,Finance,LatAm,"10930,77676","0,684436985","0,485686559","0,723744223",3,"0,084","0,486312823","0,040850277","2,693230033",1,,,,
156,Finance,Europe,"7970,792281","0,51294424","0,105035478","0,217394032",3,"0,07","0,708704846","0,049609339","67,64927122",0,,,,
157,Technology,LatAm,"24059,80057","0,726341566","0,19933742","0,723498009",4,"0,144","0,510903744","0,073570139","335,5197188",1,,,,
158,Energy,LatAm,"2822,646863","0,393318589","0,215676608","0,185242014",0,"0,06","1,325354894","0,079521294","145,8269728",1,,,,
159,Manufacturing,LatAm,"265804,8074","0,209901912","-0,229822054","0,261565315",3,"0,072","0,615015545","0,044281119","207,6206113",1,,,,
160,Services,USA,"6765,959064","0,120297971","0,183342124","0,723009758",2,"0,064","0,381211841","0,024397558","331,0754556",1,,,,
161,Finance,Europe,"48263,64314","0,606250435","0,509697088","0,437402427",0,"0,07","1,198388036","0,083887163","196,8698627",1,,,,
162,Services,Europe,"32606,5765","0,56043649","0,060324851","0,69461452",0,"0,08","1,541911104","0,123352888","49,08363229",1,,,,
163,Energy,Europe,"26114,92326",0,"0,1188545","0,266776222",4,"0,05","0,234044828","0,011702241","471,391164",1,,,,
164,Technology,LatAm,"22692,50481","0,339514772","0,124584284","1,013491134",4,"0,144","0,266586185","0,038388411","245,5151028",1,,,,
165,Retail,LatAm,"339066,6749","0,37485746","0,100568792","0,317963998",2,"0,108","0,742847428","0,080227522","40,02842794",1,,,,
166,Retail,USA,"127357,2342","0,172659435","0,13306913","0,747836408",2,"0,072","0,428271396","0,030835541","256,4130332",1,,,,
167,Manufacturing,LatAm,"50098,26073","0,846799772","0,276188717","0,447287663",1,"0,072","1,600581674","0,11524188","46,50343851",1,,,,
168,Services,LatAm,"11323,5211","0,716763277","-0,144192321","0,27835473",3,"0,096","1,197408778","0,114951243","88,02994161",0,,,,
169,Retail,USA,"8584,110868","0,281188975","-0,242733575","0,29444233",1,"0,072","1,242711733","0,089475245","132,0157164",1,,,,
170,Technology,Europe,"13805,00955","0,346730997","0,130187523","0,636076957",3,"0,12","0,436865677","0,052423881","187,4339839",1,,,,
171,Technology,USA,"21084,94029",1,"0,11986307","1,735008582",4,"0,096","0,502898277","0,048278235","1,883292904",1,,,,
172,Energy,Europe,"30235,91531","0,298461172","0,233572425","0,188857639",2,"0,05","0,618591917","0,030929596","761,0962316",1,,,,
173,Finance,Europe,"8581,054548","0,666330887","-0,078739521","0,272645084",1,"0,07","1,900112909","0,133007904","0,308879075",1,,,,
174,Manufacturing,USA,"58125,13781",0,"0,362801579","0,414628632",2,"0,048","0,310330974","0,014895887","12,25499423",1,,,,
175,Finance,USA,"26035,69719","0,379481568","-0,317837577","0,542139394",1,"0,056","1,371616858","0,076810544","95,86069095",1,,,,
176,Retail,LatAm,"13754,54198","0,467645766","0,099065542","0,38821845",2,"0,108","0,825549447","0,08915934","53,43281463",1,,,,
177,Retail,Europe,"7655,747743",0,"0,085445459","0,784014635",4,"0,09","0,186849317","0,016816439","21,03605801",1,,,,
178,Technology,Europe,"3582,534243",1,"0,159839917","0,323989233",2,"0,12","1,782764887","0,213931786","21,8544295",1,,,,
179,Retail,LatAm,"8798,863595","0,791573858","0,042438701","0,294474187",4,"0,108","0,816837577","0,088218458","57,17055538",1,,,,
180,Retail,USA,"19216,99084",1,"0,064399353","0,409539151",2,"0,072","1,879171657","0,135300359","30,45711504",1,,,,
181,Energy,Europe,"6154,360482","0,857128688","0,206504775","0,25996133",3,"0,05","1,050438391","0,05252192","327,5071085",0,,,,
182,Manufacturing,LatAm,"66520,12086","0,548593718","0,210343441","0,445806927",2,"0,072","0,810295464","0,058341273","216,5243106",1,,,,
183,Energy,USA,"52784,42371","0,346901819","0,046351684","0,255786161",3,"0,04","0,574708665","0,022988347","313,7249996",0,,,,
184,Manufacturing,USA,"39965,31335","0,174852188","0,455872238","0,560448182",3,"0,048","0,253138617","0,012150654","1287,544209",1,,,,
185,Retail,LatAm,"30473,18656","0,499486817","0,071748099","0,636769608",5,"0,108","0,319530458","0,03450929","820,5249725",1,,,,
186,Retail,USA,"17721,14531","0,376114966","0,043155516","0,464921687",2,"0,072","0,732388689","0,052731986","69,01956349",0,,,,
187,Energy,USA,"100033,7394","0,508952337","0,113082839","0,512642016",4,"0,04","0,446652075","0,017866083","48,98912286",1,,,,
188,Manufacturing,LatAm,"32862,74606","0,517792518","0,400165767","0,370820768",2,"0,072","0,664389056","0,047836012","33,08947152",1,,,,
189,Retail,LatAm,"23135,30206","0,462168061","0,054401538","0,895950291",0,"0,108","1,210308648","0,130713334","50,96498232",1,,,,
190,Finance,USA,"10050,98376","0,027100714","-0,3356875","0,520335423",2,"0,056","0,616418514","0,034519437","576,1264667",1,,,,
191,Manufacturing,Europe,"12906,01511",0,"0,51864223","0,588803908",3,"0,06","0,180316041","0,010818962","281,7377213",1,,,,
192,Technology,USA,"40488,31465","0,441206449","0,216586471","0,927761591",0,"0,096","0,981515382","0,094225477","10,85254318",1,,,,
193,Manufacturing,LatAm,"3403,378388","0,681363682","-0,217257546","0,03665336",4,"0,072","1,02119794","0,073526252","14,56842758",1,,,,
194,Services,Europe,"27796,46405",0,"0,850677981","0,543317269",1,"0,08","0,241149884","0,019291991","2215,707801",0,,,,
195,Energy,LatAm,"13419,60641","0,735262281","-0,030059945","0,102667646",2,"0,06","1,618693826","0,09712163","35,23652791",1,,,,
196,Energy,LatAm,"37216,77837","0,783448351","0,284022701","0,189125861",5,"0,06","0,494893295","0,029693598","91,60246008",1,,,,
197,Retail,LatAm,"107332,073","0,890003393","0,051564361","0,834746377",2,"0,108","1,304823182","0,140920904","0,475437125",1,,,,
198,Retail,LatAm,"40575,27376",1,"0,004231985","0,361831935",2,"0,108","2,043884261","0,2207395","10,9176435",1,,,,
199,Services,USA,"76677,35395","0,2197581","0,29551612","0,410256823",4,"0,064","0,253851106","0,016246471","1,564270544",1,,,,
200,Manufacturing,LatAm,"19789,95004","0,451111598","-0,581135178","0,441355721",1,"0,072","2,089917759","0,150474079","47,95656885",1,,,,
201,Retail,LatAm,"136275,2737","0,614709176","0,054589741","0,505068437",2,"0,108","1,015051962","0,109625612","20,35884595",0,,,,
202,Technology,Europe,"32243,54761","0,539171106","0,178058889","0,69736524",2,"0,12","0,727613812","0,087313657","57,82381435",1,,,,
203,Retail,Europe,"9645,616066","0,460362006","0,015891367","0,057212407",5,"0,09","0,425728031","0,038315523","27,11297672",1,,,,
204,Services,Europe,"38694,8109","0,072899114","0,503436622","0,235349201",2,"0,08","0,328978608","0,026318289","1422,192431",1,,,,
205,Services,Europe,"19976,24713",1,"-0,602115691","0,183822445",2,"0,08","4,096792983","0,327743439","22,47719305",0,,,,
206,Energy,Europe,"7709,538658","0,774422036","0,100290106","0,543777959",2,"0,05","1,208589489","0,060429474","100,3467788",0,,,,
207,Finance,USA,"1990,246594",1,"-1,259544793","0,20359802",4,"0,056","4,296263893","0,240590778","55,17825487",1,,,,
208,Manufacturing,Europe,"181234,498","0,544235741","-0,37561227","0,140216991",2,"0,06","1,685154726","0,101109284","236,5992517",0,,,,
209,Energy,USA,"15231,94648","0,550343875","0,306295656","0,532068825",3,"0,04","0,523711532","0,020948461","2742,061991",1,,,,
